Event,Site,Date,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination,FEN,SetUp,PGN,turn_1,turn_2,turn_3,turn_4,turn_5,turn_6,turn_7,turn_8,turn_1_eval,turn_2_eval,turn_3_eval,turn_4_eval,turn_5_eval,turn_6_eval,turn_7_eval,turn_8_eval
Rated Bullet game,https://lichess.org/PgYk8KbQ,2022.10.19,CalculoErrado,cubicinfinity,0-1,2022.10.19,21:12:08,862,853,-6,+14,Standard,60+0,B00,Time forfeit,NA,NA,1. e4 f5 2. exf5 Nc6 3. Qh5+ g6 4. fxg6 e6 5. gxh7+ Ke7 6. Qg5+ Nf6 7. Bd3 Rxh7 8. Bxh7 Qe8 9. Bg6 Nd4 10. Bxe8 Nxc2+ 11. Kf1 Nxa1 12. Nf3 Kxe8 13. Qxf6 Be7 14. Qh8+ Kf7 15. Qh5+ Kf6 16. Qg5+ Kf7 17. Qe5 Kg6 18. h4 d6 19. h5+ Kh6 20. Qf4+ Kg7 21. Ng5 Bd7 22. Qd4+ Kh6 23. Qd3 Rf8 24. Qf3 Rxf3 25. Nxf3 Kh7 26. Nd4 Kg7 27. Ne2 Bf6 28. f4 Be5 29. f5 Bd4 30. g3 Bf6 31. Nf4 Bg5 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppppp1pp/8/5P2/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,r1bqkbnr/ppppp1pp/2n5/5P2/8/8/PPPP1PPP/RNBQKBNR w KQkq - 1 3,r1bqkbnr/ppppp1pp/2n5/5P1Q/8/8/PPPP1PPP/RNB1KBNR b KQkq - 2 3,r1bqkbnr/ppppp2p/2n3p1/5P1Q/8/8/PPPP1PPP/RNB1KBNR w KQkq - 0 4,r1bqkbnr/ppppp2p/2n3P1/7Q/8/8/PPPP1PPP/RNB1KBNR b KQkq - 0 4,r1bqkbnr/pppp3p/2n1p1P1/7Q/8/8/PPPP1PPP/RNB1KBNR w KQkq - 0 5,cp -39,cp 32 lowerbound,cp -25,cp 18,cp -17 upperbound,cp 24 upperbound,cp -21 lowerbound,cp -158
Rated Blitz game,https://lichess.org/lJolnIFQ,2022.10.17,hmater,cubicinfinity,0-1,2022.10.17,00:39:17,908,942,-5,+6,Standard,300+3,A80,Normal,NA,NA,1. d4 f5 2. Bf4 d5 3. e3 Nf6 4. Nf3 g6 5. c3 h5 6. Nbd2 b6 7. Ne5 Bb7 8. Nxg6 Rg8 9. Ne5 e6 10. Bg5 Rxg5 11. Ndf3 Rg8 12. Nh4 Bd6 13. Be2 Bxe5 14. dxe5 Ng4 15. O-O Qxh4 16. Qd4 Qxh2# 0-1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppppp1pp/8/5p2/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,rnbqkbnr/ppp1p1pp/8/3p1p2/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 3,rnbqkbnr/ppp1p1pp/8/3p1p2/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq - 1 4,rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,rnbqkb1r/ppp1p2p/5np1/3p1p2/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,cp 161,cp -146 upperbound,cp -53,cp 50 upperbound,cp -50,cp 49,cp -49 lowerbound,cp 47 lowerbound
Rated Bullet game,https://lichess.org/njvAirSv,2022.10.14,cubicinfinity,kirubelBed,0-1,2022.10.14,23:23:50,862,994,-9,+3,Standard,60+0,D02,Normal,NA,NA,1. d4 d5 2. Bf4 Nf6 3. Nf3 Nc6 4. Nc3 Bg4 5. e3 e6 6. Bd3 Bb4 7. Qe2 O-O 8. a3 Bxc3+ 9. bxc3 Ne4 10. Bxe4 dxe4 11. O-O exf3 12. gxf3 Bf5 13. e4 Bg6 14. c4 Nxd4 15. Qd3 Nc6 16. Qxd8 Raxd8 17. Bxc7 Rc8 0-1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 3 3,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R w KQkq - 4 4,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 5 4,r2qkb1r/ppp1pppp/2n2n2/3p4/3P1Bb1/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 6 5,cp 58 upperbound,cp 27,cp -40 lowerbound,cp 30 upperbound,cp -28 lowerbound,cp 27 upperbound,cp -20 upperbound,cp 24 lowerbound
Rated Bullet game,https://lichess.org/k2TDirrk,2022.10.14,Essemme,cubicinfinity,0-1,2022.10.14,23:21:52,757,851,-4,+11,Standard,60+0,C53,Time forfeit,NA,NA,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 d6 5. h3 Nf6 6. d4 Nxe4 7. dxc5 Bf5 8. O-O Nxc5 9. Be3 Nd3 10. Bxd3 Bxd3 11. Qxd3 Qf6 12. Qd5 O-O-O 13. Na3 g6 14. Nb5 Rhe8 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4,r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 5,cp -10,cp 17 upperbound,cp -17 upperbound,cp 3,cp -7 lowerbound,cp -18,cp 16 upperbound,cp -18 upperbound
Rated Bullet game,https://lichess.org/DeYgyfdN,2022.10.14,cubicinfinity,PKR6,0-1,2022.10.14,23:19:49,861,974,-10,+35,Standard,60+0,B10,Normal,NA,NA,1. e4 c6 2. Nc3 d5 3. Bd3 g6 4. Nf3 Bg7 5. g4 e6 6. Qe2 Ne7 7. O-O O-O 8. h4 e5 9. b3 Bxg4 10. exd5 cxd5 11. Nxd5 Qxd5 12. Qxe5 Bxe5 13. Nxe5 Qxe5 14. Bxg6 hxg6 15. Bb2 Qxb2 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pp1ppppp/2p5/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2NB4/PPPP1PPP/R1BQK1NR b KQkq - 1 3,rnbqkbnr/pp2pp1p/2p3p1/3p4/4P3/2NB4/PPPP1PPP/R1BQK1NR w KQkq - 0 4,rnbqkbnr/pp2pp1p/2p3p1/3p4/4P3/2NB1N2/PPPP1PPP/R1BQK2R b KQkq - 1 4,rnbqk1nr/pp2ppbp/2p3p1/3p4/4P3/2NB1N2/PPPP1PPP/R1BQK2R w KQkq - 2 5,cp -23,cp 19 upperbound,cp -23,cp 20,cp -18 upperbound,cp -21 upperbound,cp 22,cp -23 upperbound
Rated Blitz game,https://lichess.org/l8axOCdi,2022.10.14,Shetu1999,cubicinfinity,0-1,2022.10.14,04:12:03,979,936,-6,+6,Standard,300+3,C50,Normal,NA,NA,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. Ng5 Nh6 5. O-O d6 6. Nc3 f6 7. Nf3 Qe7 8. d3 Be6 9. Bxh6 gxh6 10. Bb5 Qd7 11. Nd5 Rf8 12. Nd2 a6 13. Qh5+ Bf7 14. Nxf6+ Ke7 15. Nxd7 Bxh5 16. Nxf8 axb5 17. Nxh7 Bg6 18. c4 Bxh7 19. cxb5 Nd4 20. Rac1 Nxb5 21. Nf3 Rxa2 22. Rfd1 Rxb2 23. Rb1 Rxb1 24. Rxb1 c6 25. Ra1 Kd7 26. Ra8 Nc3 27. Rh8 Bg6 28. Rxh6 Be8 29. Rh7+ Kd8 30. Rxb7 Ne2+ 31. Kf1 Nf4 32. g3 Nxd3 33. Ng5 Nxf2 34. Ne6+ Kc8 35. Rc7+ Kb8 36. Rxc6 Bxc6 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,r1bqk1nr/pppp1ppp/2n5/2b1p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4,r1bqk2r/pppp1ppp/2n4n/2b1p1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq - 6 5,cp -17 lowerbound,cp -47,cp 50 upperbound,cp -47,cp 45 upperbound,cp 39,cp -32 lowerbound,cp 25
Rated Blitz game,https://lichess.org/mDg7ndA2,2022.10.14,cubicinfinity,JL95,1-0,2022.10.14,04:02:15,931,851,+5,-4,Standard,300+3,C25,Normal,NA,NA,1. e4 e5 2. Nc3 c6 3. Nf3 d5 4. exd5 cxd5 5. Nxe5 Bd6 6. d4 Qb6 7. Nb5 Bb4+ 8. c3 Bd6 9. Nxd6+ Qxd6 10. Bf4 Qf6 11. Bb5+ Bd7 12. Bxd7+ Nxd7 13. g3 Ne7 14. Nxd7 Kxd7 15. Qa4+ Ke6 16. O-O-O g5 17. Rde1+ Kf5 18. Be5 Qb6 19. Qd7+ Kg6 20. Bxh8 Rxh8 21. Qxe7 Kg7 22. Re5 Kg6 23. Rxd5 Qc6 24. Rd6+ Qxd6 25. Qxd6+ Kg7 26. Re1 f6 27. Re7+ Kg6 28. Qe6 Rf8 29. b4 h5 30. g4 hxg4 31. Qxg4 f5 32. Qf3 g4 33. Qxb7 Kg5 34. Rg7+ Kf4 35. Rf7 Kg5 36. Rxf8 Kf4 37. Qxa7 Kg5 1-0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,rnbqkbnr/pp1p1ppp/2p5/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3,rnbqkbnr/pp1p1ppp/2p5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,rnbqkbnr/pp3ppp/2p5/3pp3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,rnbqkbnr/pp3ppp/2p5/3Pp3/8/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 4,rnbqkbnr/pp3ppp/8/3pp3/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 5,cp 28 upperbound,cp -18 lowerbound,cp 21 lowerbound,cp 38,cp -34 upperbound,cp 34 lowerbound,cp -38,cp 34 lowerbound
Rated Blitz game,https://lichess.org/FlLGX586,2022.10.13,cubicinfinity,laiapp,0-1,2022.10.13,00:10:34,939,795,-8,+13,Standard,300+3,C26,Time forfeit,NA,NA,1. e4 e5 2. Nc3 Nf6 3. Bc4 d6 4. d4 Bg4 5. f3 Bh5 6. d5 c6 7. dxc6 bxc6 8. Be3 d5 9. exd5 cxd5 10. Bb5+ Nbd7 11. Bc6 Rc8 12. Bxd5 Bb4 13. Ne2 e4 14. Bxe4 Ne5 15. Bf5 Rb8 16. Bxa7 Ra8 17. Qxd8+ Rxd8 18. a3 Bxc3+ 19. Nxc3 O-O 20. O-O g6 21. g4 gxf5 22. gxh5 Nxh5 23. Rf2 Nf4 24. b4 Nh3+ 25. Kg2 Nxf2 26. Kxf2 Rd2+ 27. Kg3 Rxc2 28. Bd4 Rc8 29. Bxe5 h6 30. Nd5 Rd2 31. Nf6+ Kf8 32. Rg1 Ra2 33. Nh7+ Ke7 34. Bf6+ Kd7 35. Rg2 Rxg2+ 36. Kxg2 Rc2+ 37. Kg3 Ra2 38. Kf4 Rxa3 39. h4 h5 40. b5 Rb3 41. Kxf5 Rxb5+ 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 3 3,rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 4,rnbqkb1r/ppp2ppp/3p1n2/4p3/2BPP3/2N5/PPP2PPP/R1BQK1NR b KQkq - 0 4,rn1qkb1r/ppp2ppp/3p1n2/4p3/2BPP1b1/2N5/PPP2PPP/R1BQK1NR w KQkq - 1 5,cp -34 lowerbound,cp 20 upperbound,cp -14 upperbound,cp 10,cp -18 upperbound,cp 14 upperbound,cp -15 upperbound,cp 18
Rated Blitz game,https://lichess.org/xXkpnXXy,2022.10.13,Silent_200,cubicinfinity,0-1,2022.10.13,00:01:29,912,934,-41,+5,Standard,300+3,C20,Time forfeit,NA,NA,1. e4 e5 2. f3 d5 3. d4 dxe4 4. Nd2 e3 5. Nc4 exd4 6. c3 Nc6 7. cxd4 Qxd4 8. Qxd4 Nxd4 9. Bxe3 Nc2+ 10. Kd2 Nxa1 11. Ne5 Bd6 12. Bb5+ c6 13. Ba4 Bxe5 14. f4 Bxb2 15. Ne2 Bg4 16. Rxa1 Bxa1 0-1,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/4P3/5P2/PPPP2PP/RNBQKBNR b KQkq - 0 2,rnbqkbnr/ppp2ppp/8/3pp3/4P3/5P2/PPPP2PP/RNBQKBNR w KQkq - 0 3,rnbqkbnr/ppp2ppp/8/3pp3/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3,rnbqkbnr/ppp2ppp/8/4p3/3Pp3/5P2/PPP3PP/RNBQKBNR w KQkq - 0 4,rnbqkbnr/ppp2ppp/8/4p3/3Pp3/5P2/PPPN2PP/R1BQKBNR b KQkq - 1 4,rnbqkbnr/ppp2ppp/8/4p3/3P4/4pP2/PPPN2PP/R1BQKBNR w KQkq - 0 5,cp 11,cp -8 lowerbound,cp -3 lowerbound,cp -1 lowerbound,cp -9 upperbound,cp -0,cp -3 upperbound,cp 39
Rated Blitz game,https://lichess.org/myfEF8hi,2022.10.12,Killin_Mooks,cubicinfinity,1-0,2022.10.12,23:53:28,908,940,+13,-6,Standard,300+3,D02,Normal,NA,NA,1. d4 Nf6 2. g3 d5 3. Nf3 Bf5 4. Bg2 e6 5. Nbd2 Ne4 6. O-O Bd6 7. Nh4 Nxd2 8. Bxd2 Qf6 9. c4 dxc4 10. Bxb7 Bh3 11. Ng2 Qxd4 12. Bxa8 c6 13. Rb1 Qd5 14. f3 Bxg3 15. hxg3 Qg5 16. Bxg5 1-0,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,rnbqkb1r/pppppppp/5n2/8/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/6P1/PPP1PP1P/RNBQKBNR w KQkq - 0 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 1 3,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 2 4,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R b KQkq - 3 4,rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq - 0 5,cp -25 lowerbound,cp 31 upperbound,cp -28 upperbound,cp 18 lowerbound,cp -21 lowerbound,cp -33,cp -21,cp -21 upperbound
Rated Blitz game,https://lichess.org/TvJzUGd3,2022.10.12,deelate,cubicinfinity,0-1,2022.10.12,23:44:47,982,934,-16,+6,Standard,300+3,A00,Normal,NA,NA,1. g4 h5 2. Bg2 hxg4 3. d4 d5 4. Nc3 Nf6 5. e4 dxe4 6. Nxe4 e6 7. Nxf6+ Qxf6 8. Qxg4 Rh4 9. Qd1 Rxd4 10. Qf3 Be7 11. Ne2 Rd6 12. Bf4 e5 13. Bg3 Nc6 14. c3 Bf5 15. O-O O-O-O 16. Qh5 g6 17. Qf3 Rd2 18. Rab1 Bxb1 19. Rxb1 Rd1+ 20. Rxd1 Rxd1+ 21. Bf1 Qf5 22. Qxf5+ gxf5 23. Kg2 f4 0-1,rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppppppp1/8/7p/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppppppp1/8/7p/6P1/8/PPPPPPBP/RNBQK1NR b KQkq - 1 2,rnbqkbnr/ppppppp1/8/8/6p1/8/PPPPPPBP/RNBQK1NR w KQkq - 0 3,rnbqkbnr/ppppppp1/8/8/3P2p1/8/PPP1PPBP/RNBQK1NR b KQkq - 0 3,rnbqkbnr/ppp1ppp1/8/3p4/3P2p1/8/PPP1PPBP/RNBQK1NR w KQkq - 0 4,rnbqkbnr/ppp1ppp1/8/3p4/3P2p1/2N5/PPP1PPBP/R1BQK1NR b KQkq - 1 4,rnbqkb1r/ppp1ppp1/5n2/3p4/3P2p1/2N5/PPP1PPBP/R1BQK1NR w KQkq - 2 5,cp -33 upperbound,cp 28 upperbound,cp -20,cp 23 lowerbound,cp -25 upperbound,cp 23,cp 23,cp -18
Rated Blitz game,https://lichess.org/l6ih2zFV,2022.10.10,cubicinfinity,oualidwashington77,0-1,2022.10.10,15:08:25,938,1033,-4,+4,Standard,300+3,D01,Time forfeit,NA,NA,1. d4 d5 2. Nc3 Nf6 3. Bf4 Bd7 4. b3 e6 5. e3 Nc6 6. Nb5 Bb4+ 7. c3 Bd6 8. Bxd6 cxd6 9. Nxd6+ Ke7 10. Nxb7 Qb6 11. Nc5 Qa5 12. Qd3 e5 13. Nxd7 e4 14. Qc2 Kxd7 15. Ne2 Rab8 16. Rb1 Rhe8 17. b4 Qa6 18. b5 Qb6 19. bxc6+ Qxc6 20. h3 Qd6 21. Nf4 Rxb1+ 22. Qxb1 Rb8 23. Bb5+ Ke7 24. a4 a6 25. Qb4 Qxb4 26. Nxd5+ Kd6 27. Nxb4 axb5 28. a5 Nd5 0-1,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 2 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 3 3,rn1qkb1r/pppbpppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR w KQkq - 4 4,rn1qkb1r/pppbpppp/5n2/3p4/3P1B2/1PN5/P1P1PPPP/R2QKBNR b KQkq - 0 4,rn1qkb1r/pppb1ppp/4pn2/3p4/3P1B2/1PN5/P1P1PPPP/R2QKBNR w KQkq - 0 5,cp -24 lowerbound,cp 28 lowerbound,cp -16 upperbound,cp 475,cp -474,cp 461,cp -476,cp 474
Rated Blitz game,https://lichess.org/IMMyyCWB,2022.10.10,adil-empire,cubicinfinity,1-0,2022.10.10,14:59:58,947,944,+6,-6,Standard,300+3,C23,Normal,NA,NA,1. e4 e5 2. Bc4 Nc6 3. h3 Bc5 4. Nf3 d6 5. Bb5 Bd7 6. Bxc6 Bxc6 7. d3 f5 8. Bg5 Ne7 9. Nbd2 fxe4 10. dxe4 Qd7 11. Bxe7 Qxe7 12. O-O O-O-O 13. a4 d5 14. Qe2 dxe4 15. Nxe4 Bxe4 16. Qxe4 h6 17. Rfb1 g5 18. b4 Bd6 19. b5 b6 20. Qa8+ Kd7 21. Qxa7 e4 22. Nd4 Bh2+ 23. Kxh2 Qd6+ 24. Kh1 Qxd4 25. Rd1 Qxd1+ 26. Rxd1+ Ke7 27. Rxd8 Rxd8 28. Qxc7+ Rd7 1-0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/7P/PPPP1PP1/RNBQK1NR b KQkq - 0 3,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/7P/PPPP1PP1/RNBQK1NR w KQkq - 1 4,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N1P/PPPP1PP1/RNBQK2R b KQkq - 2 4,r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/5N1P/PPPP1PP1/RNBQK2R w KQkq - 0 5,cp 475,cp -31,cp 22,cp -25 upperbound,cp 25 lowerbound,cp 10,cp -14 upperbound,cp -2
Rated Blitz game,https://lichess.org/VTrByl19,2022.10.10,cubicinfinity,Gandalf2012,1-0,2022.10.10,14:58:00,938,961,+6,-6,Standard,300+3,D01,Normal,NA,NA,1. d4 Nf6 2. Nc3 d5 3. Bf4 c6 4. e3 Qb6 5. b3 Bf5 6. Bd3 Nbd7 7. Bxf5 1-0,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,rnbqkb1r/pppppppp/5n2/8/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 2 2,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 3,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,rnbqkb1r/pp2pppp/2p2n2/3p4/3P1B2/2N5/PPP1PPPP/R2QKBNR w KQkq - 0 4,rnbqkb1r/pp2pppp/2p2n2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR b KQkq - 0 4,rnb1kb1r/pp2pppp/1qp2n2/3p4/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq - 1 5,cp 8 upperbound,cp -10 upperbound,cp -19,cp 17 upperbound,cp -22 lowerbound,cp 29 lowerbound,cp -0 upperbound,cp 0
Rated Blitz game,https://lichess.org/8fTwcdIx,2022.10.10,cubicinfinity,RomuloMago,1-0,2022.10.10,14:50:40,932,949,+6,-6,Standard,300+3,B00,Normal,NA,NA,1. e4 a5 2. Nf3 a4 3. d4 d6 4. Nc3 f6 5. Bb5+ c6 6. Bxa4 b5 7. Bb3 b4 8. Na4 Bg4 9. Bf4 Bxf3 10. Qxf3 e5 11. dxe5 dxe5 12. Bd2 g5 13. O-O-O Ne7 14. Bxg5 fxg5 15. Rxd8+ Kxd8 16. Qf6 Rg8 17. Rd1+ Kc7 18. Qxe5+ Kb7 19. Nc5+ Kb6 20. Rd8 Ng6 21. Qd4 Kc7 22. Bxg8 Bxc5 1-0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,rnbqkbnr/1ppppppp/8/p7/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,rnbqkbnr/1ppppppp/8/p7/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,rnbqkbnr/1ppppppp/8/8/p3P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,rnbqkbnr/1ppppppp/8/8/p2PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,rnbqkbnr/1pp1pppp/3p4/8/p2PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,rnbqkbnr/1pp1pppp/3p4/8/p2PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 4,rnbqkbnr/1pp1p1pp/3p1p2/8/p2PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,cp -0 upperbound,cp 15,cp -10 upperbound,cp 11,cp -13 upperbound,cp 21,cp 13,cp -19 upperbound
